Username,Datetime,Tweet Id,Text,Likes,Retweets,Replies,Quotes,Mentioned
glossyco,2022-02-26 21:00:05+00:00,1497677875876663310,"Metaverse launches have been frequent in the last year, with brands including Gucci and Adidas launching NFTs. But according to new data, retail consumers across the UK and the US are still unaware of the metaverse, its applications and its benefits. https://t.co/hsqOCvBrPW",0,1,0,0,
glossyco,2022-02-23 16:01:20+00:00,1496515528546033666,"Metaverse launches have been frequent in the last year, with brands like @gucci and @adidas launching NFTs. But according to new data, consumers in the UK and US are still unaware of the metaverse, its applications and its benefits.

Story by @_Stylion_. https://t.co/dIGAa7RxHe",0,0,0,1,"[User(username='gucci', id=16913418, displayname='gucci', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='adidas', id=300114634, displayname='adidas', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='_Stylion_', id=398997784, displayname='Zofia Zwieglinska', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
glossyco,2022-02-19 20:00:24+00:00,1495126139764891652,"Positioned as a physical metaverse influencer creator hub, 1.2 million-square-foot Emcee Studio is opening in downtown L.A. later this year as part of Emcee's expansion into the metaverse. https://t.co/wHm7vwwULD",0,0,0,0,
glossyco,2022-02-19 15:00:42+00:00,1495050716553035776,"Marketers discussed ways into the metaverse, among other topics, at Digiday Media's CMO Summit. https://t.co/uDEXJPkFNC",1,0,0,0,
glossyco,2022-02-15 16:00:00+00:00,1493616089842032650,"Positioned as a physical metaverse influencer creator hub, a 1.2 million-square-foot Emcee Studio is opening in downtown L.A. later this year as part of Emcee's expansion into the metaverse. 

@_Stylion_ has the story. https://t.co/RTGITNIjex",0,0,0,1,"[User(username='_Stylion_', id=398997784, displayname='Zofia Zwieglinska', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
glossyco,2022-02-10 16:00:10+00:00,1491804190850617346,".@Sheppardstyle is the latest hire for the metaverse, with a styling track record at @TOMFORD, @McQueen and Daphne Guinness.

Story by @_Stylion_. https://t.co/algMkF7t5d",2,2,1,1,"[User(username='Sheppardstyle', id=233904435, displayname='Gemma Lucy Sheppard', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='TOMFORD', id=2327933017, displayname='TOM FORD', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='McQueen', id=221392767, displayname='Alexander McQueen', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='_Stylion_', id=398997784, displayname='Zofia Zwieglinska', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
glossyco,2022-02-07 16:01:17+00:00,1490717308951666695,".@cultandrain is delving under the skin of the NFT market with a collection that marries utility and luxury design. The move suggests that this could become a go-to path for industry veterans. 

@_Stylion_ has the story. https://t.co/UaQvVhaHqG",2,0,0,1,"[User(username='cultandrain', id=1433246762379141120, displayname='CULT&RAIN', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='_Stylion_', id=398997784, displayname='Zofia Zwieglinska', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
glossyco,2022-02-07 15:01:05+00:00,1490702159901511684,"In January, the DTC underwear brand MeUndies posted on Twitter that it had joined the NFT collection Bored Ape Yacht Club. The reaction the company received was less than positive. 

@Danny_Parisi_ has the story. https://t.co/f5bs8Z3eny",2,0,0,0,"[User(username='Danny_Parisi_', id=175566493, displayname='Klimt Eastwood🌹', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
glossyco,2022-02-02 14:00:48+00:00,1488875051126562818,"Complete with influencers and product launches, the branded beauty event has come to the metaverse @decentraland. 

@Liz__Flora has the story. https://t.co/wugMmozySD",5,2,0,0,"[User(username='decentraland', id=3291830170, displayname='Decentraland', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Liz__Flora', id=815393840, displayname='Liz Flora', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
glossyco,2022-01-19 15:00:56+00:00,1483816753117421572,Register for this webinar on January 26 at 1 p.m. EST for a discussion on how retailers and consumers are approaching the metaverse in 2022. Sponsored by @Scalefast. https://t.co/Hak7hYmqcd,4,1,0,0,"[User(username='Scalefast', id=4435494673, displayname='Scalefast', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
